Name LAT1 LAT2 LAT3 LONG1 LONG2 LONG3 LT DAM Elv Z SA N Hg ST DA RF FR 

PLEASANT.L|45|21|33|67|55|10|1||319|92|1574|5|0.41|1|21|0.5|0.5
PASSAGASSAWAUKEAG.L|44|30|48|69|7|51|3|1|304|40|118|5|0.55|1|3|0.55|1.9
HAY.L|46|9|10|68|43|18|3|1|653|34|588|2|0.24|0|6|0.53|0.8
FOLSOM.P|45|20|25|68|26|37|2|0|221|19|282|5|0.71|0|14|0.49|6.2
BUBBLE.P|44|20|44|68|14|20|3|0|331|39|32|2|0.1|0|1|0.64|1.9
SQUAW.P(BIG)|45|27|22|69|40|44|1|0|1486|96|91|5|0.26|1|1|0.76|0.8
BRADBURY(BARKER).L|46|8|10|68|0|31|1|1|449|45|38|2|0.81|1|17|0.51|24.5
UMCOLCUS.L|46|17|16|68|25|49|2|1|882|17|630|4|0.43|0|15|0.61|2.9
MOOSELEUK.L|46|30|33|68|54|18|2|1|846|6|422|5|0.48|0|92|0.58|45.2
SUNDAY.P|44|47|56|70|57|12|3|1|1409|50|30|5|0.41|1|1|0.61|1.9
LILY.P|44|27|54|69|42|20|3|1|146|30|44|5|0.37|1|0|0.46|1
CHASE.L|46|24|26|69|2|18|3|1|819|31|403|5|0.43|1|47|0.58|9.5
HOSMER.P|44|12|53|69|7|44|3|0|212|16|53|3|0.071|0|2|0.62|6.8
PLEASANT.P|44|0|24|70|53|25|3|1|362|15|239|5|0.6|0|14|0.06|1.2
CROSS.L|47|5|16|68|18|32|3|1|578|46|2515|5|0.39|0|164|0.5|3.3
SECOND.L|45|0|52|67|47|34|||247||102|5|0.58||5
NEQUASSET.P|43|57|4|69|46|13|3|0|17|63|392|3|0.37|1|21|0.58|2.3
FOREST.L|43|49|12|70|19|42|2|0|276|38|210|5|1.22|1|3|0.53|1.4
VARNUM.P|44|39|27|70|14|23|1|0|756|75|331|5|0.16|1|4|0.61|0.5
HICKS.P|44|18|24|70|39|16|3|0|683|18|93|5|0.9|0|10|0.59|18.9
CHUB.P|45|27|30|70|18|20|2|1|1095|19|24|5|0.18|1|0|0.46|0.8
FISH.P|45|44|46|70|7|27|1|1|1503|58|211|3|0.36|1|6|0.56|1.8
DUCK.L|45|9|0|68|5|35|1|1|519|88|1222|5|0.22|1|6
CARLTON.BOG(POND)|44|42|14|69|16|21|2|0|203|8|430|5|0.29|0|23|0.51|20.1
MACHIAS.L(FOURTH)|45|7|39|68|0|26|3|1|311|26|1539|5|1.12|0|66|0.56|4.7
ROACH.P(SECOND)|45|40|34|69|16|36|3|0|1271|46|970|5|0.22|0|25|0.66|2.1
SYMMES.P|43|38|56|70|52|43|2|0|499|30|36|5|0.18|1|1|0.61|3.3
BEN.ANNIS.P|44|46|25|68|56|35|2|1|122|9|25|5|0.18|0|10|0.51|58.8
TOGUE.P|46|56|1|68|53|30|1|1|1189|85|388|5|0.11|1|4|0.56|0.3
ROUND(GREY).P|44|44|26|69|13|30|2|1|269|30|134|4|0.51|1|3|0.47|2.1
CEDAR.L|45|31|14|68|48|32|2|1|500|25|685|4|0.91|0|5|0.51|0.6
KEEWAYDIN.L|44|15|54|70|50|13|2|0|676|52|307|2|0.89|1|9|0.06|0.3
PENNINGTON.P|46|56|10|68|31|11|2|1|904|5|45|2|0.08|0|1|0.51|17.5
HORSESHOE.L|45|1|5|68|3|52|2|1|454|20|202|3|0.8|0|2|0.58|1.1
PLEASANT.L|45|3|59|67|29|10|3|0|232|36|339|5|0.48|1|3|0.62|0.7
WOOD.P(LITTLE.BIG)|45|38|12|70|20|40|1|1|1244|80|713|5|0.25|1|39|0.46|2
BRAINARD.P|44|22|15|69|54|59|2|1|270|13|20|5|0.23|0|2
BRANCH.P(EAST)|46|15|31|69|9|27|2|1|910|9|45|5|0.57|0|2
OTTER.P|45|10|51|70|58|53|2|1|1633|18|14|3|0.13|0|0|0.71|1.8
SANDY.RIVER.P(MID)|44|53|52|70|33|16|3|1|1700|58|70|5|0.37|1|4|0.56|3.8
BAUNEAG.BEG.L|43|21|46|70|44|23|2|0|205|29|200|4|0.75|1|18|0.51|9.6
BURNT.P|44|44|41|68|31|41|3|1|328|27|315|5|0.41|0||0.58|0.7
EAST.P|44|36|39|69|46|53|2|0|263|27|1823|4|0.94|||0.47|0.2
MOLUNKUS.L|45|39|40|68|18|18|2|0|354|38|1050|5|1.12|0|35|0.52|2.5
ALLIGATOR.P|45|37|50|69|12|30|2|1|1494|26|47|2|0.025|0|1|0.69|0.8
UMBAGOG.L|44|47|25|71|0|47|2|0|1245|48|7850|5|0.29|0|600|0.56|9.2
BURNT.MEADOW.P|43|55|28|70|53|9|2|1|374|45|63|5|0.77|1|4|0.62|4.5
BURDEN.P|45|20|42|69|14|44|3|1|639|32|197|5|0.49|1|17|0.58|10.5
WEYMOUTH.P|44|58|9|69|19|33|2|1|296|15|87|5|0.19|0|1|0.47|2
GRANGER.P|43|57|6|70|46|50|3|0|524|28|126|5|0.73|0|1|0.61|1
SENNEBEC.P|44|15|26|69|15|59|3|0|87|57|532|3|0.41|1|106|0.6|14.2
GREENWOOD.P(LITTLE)|45|22|7|69|24|50|1|1|683|38|61|3|0.24|1|1|0.61|1.1
PITCHER.P|44|20|14|69|2|24|3|0|204|38|367|5|0.67|0|9|0.58|2.3
PURGATORY.P(LITTLE)|44|12|56|69|56|47|2|0|177|20|44|5|0.23|0
CANADA.FALLS.L|45|52|15|70|0|1|2|0|1235|24|2627|4|0.79|0|182|0.61|13.1
BRANCH.L(SOUTH)|45|23|27|68|40|43|2|0|227|28|2035|5|0.58|0|12|0.51|0.6
SANDY.RIVER.P(LOWER)|44|53|52|70|32|34|2|1|1690|21|17|3|0.1|1|4|0.56|64.1
DAMARISCOTTA.L|44|10|45|69|28|30|3|0|54|114|4381|4|0.21|1|57|0.59|0.5
BRACKETT.L|45|44|44|67|51|34|2|1|446|25|576|5|0.31|0|7|0.56|1.1
LOVEWELL.P|44|0|7|70|55|36|2|1|357|45|1120|5|0.45|1|9|0.06|0.1
LONG.P|44|55|25|68|15|59|3|1|390|36|271|5|0.4|1|3|0.58|0.9
PORTLAND.L|46|24|4|67|49|28|3|1|446|53|41|5|0.56|1|1
ORANGE.L|44|46|8|67|14|56|3|0|76|24|234|5|0.86|0|19|0.66|12.6
ROBERTS&WADLEY.PDS|43|32|6|70|38|34|3|0|271|22|203|5|0.52|0|9|0.58|10.1
FIELDS.P|44|43|47|68|44|6|2|0|109|31|182|5|0.96|0|3|0.51|8.2
ANASAGUNTICOOK.L|44|25|13|70|19|22|2|0|402|54|568|5|0.57|1|15|0.56|1.1
BRANCH.P(UPPER.MID)|44|54|0|68|14|45|1|1|341|55|467|3|0.43|1|4|0.58|0.5
FLYING.P|44|31|16|69|59|36|3|0|345|80|360|4|0.35|1|15|0.51|1.7
LAMBERT.L|45|32|56|67|33|15|3|1|419|60|605|5|0.45|1|6|0.58|0.7
EMBDEN.P|44|55|54|69|56|58|1|0|416|158|1568|3|0.57|1|22|0.53|0.3
CHANDLER.L|46|27|13|68|42|12|2|1|824|19|401|5|0.25|0|5|0.52|1.1
ROUND.P|44|12|3|69|17|36|2|1|34|34|250|1|0.57|1|116|0.61|43.7
INDIAN.P(BIG)|45|26|20|69|44|12|1|1|1209|68|280|4|0.09|1|5|0.76|0.9
BELDEN.P|44|24|48|69|23|8|3|1|350|30|24|3|0.66|1|1
ROCKY.P|44|35|17|68|35|52|2|1|312|14|153|5|0.68|0|2|0.57|1.8
PEASE.P|44|35|55|70|10|34|2|1|377|19|109|5|0.36|0|2|0.58|2.2
SPENCER.P|45|44|34|69|33|31|3|0|1045|16|980|3|0.14|0|21|0.61|5.4
KEENE.L|45|6|38|67|10|30|3|1|195|37|115|3|0.35|1|1|0.61|1.3
NORTH.P|44|15|38|70|35|11|3|0|487|10|175|5|0.54|0|1|0.57|1.5
EAGLE.L|47|2|24|68|33|10|1|1|574|136|5581|5|0.44|1|762|0.5|3.2
CRYSTAL(BEALS).P|44|16|55|70|16|10|3|1|328|39|47|5|0.41|1|1|0.54|1.1
DIMMICK.P(LITTLE)|45|13|45|69|52|25|2|1|1390|14|41|4|0.05|0|4|0.66|19.4
SHIN.P(LOWER)|46|5|9|68|33|50|3|1|778|25|638|5|0.47|0|23|0.56|4.2
WEBBER.P|44|24|13|69|39|53|2|0|118|41|1201|4|0.18|1|28|0.51|1.6
ROUND.P|44|25|57|70|13|15|3|1|474|32|161|5|0.44|1|2|0.55|0.7
OSSIPEE.L(LITTLE)|43|35|48|70|42|26|2|0|311|74|564|3|0.77|1|6|0.61|0.8
KINGSBURY.P|45|6|38|69|39|19|3|0|929|62|390|5|0.34|1|13|0.61|2.2
ROWE.P|45|7|32|69|59|29|3|1|1203|43|205|5|0.22|1|2|0.56|0.8
WADLEIGH.P|45|44|43|69|11|24|1|1|913|90|225|5|0.41|1|41|0.61|7.3
JUMP.P|44|24|9|69|23|55|3|1|312|42|29|5|0.43|1|1|0.56|3.3
JERRY.P|46|5|50|68|40|33|3|1|717|13|272|5|0.62|0|4|0.56|2.7
FISHER.P(BIG)|45|46|43|69|17|5|2|1|1150|11|60|5|0.36|0|1|0.56|2.9
BASKAHEGAN.L|45|30|32|67|50|2|2|1|417|22|6944|5|0.79|0|123|0.57|2
LONG.P|45|37|20|70|2|8|3|1|1157|44|3053|4|0.21|0|558|0.46|20.3
WIGHT.P|44|27|48|68|40|33|3|0|67|21|135|5|0.49|1|11|0.58|5.9
DEBSCONEAG.L(4TH)|45|45|4|69|4|43|1|1|634|150|227|2|0.43|1|6|0.53|0.5
JACOB.BUCK.P|44|38|45|68|44|40|1|1|205|52|190|4|0.77|1|3|0.53|0.8
SLY.BROOK.L(SECOND)|47|7|11|68|31|19|3|1|637|21|13|5|0.37|1|3|0.5|25.2
CHURCHILL.L|46|26|41|69|18|10|1|0|922|62|2923|5|0.26|1|298|0.51|5.8
TOGUS.P|44|19|28|69|39|31|2|1|180|49|660|5|0.12|1|5|0.51|0.5
PINE.P(BIG)|45|52|1|69|25|37|3|1|1097|33|164|1|0.67|1|5|0.51|3.3
KNIGHT.P|43|15|21|70|45|49|3|1|101|18|49|5|0.28|0|0|0.51|0.9
HODGDON.P|44|19|32|68|23|51|2|1|50|22|35|4|2.5|1|1|0.63|3.9
TRAVEL.P|44|15|14|69|31|49|2|1|204|6|102|4|0.82|0|14|0.57|50.9
BEAVER.P|43|59|47|70|49|26|3|1|397|8|128|5|0.27|0|2|0.61|7.9
SEWALL.P|43|52|7|69|46|48|2|0|15|11|46|5|0.19|0|0|0.6|1.7
COBBOSSEECONTEE.L|44|15|10|69|56|30|2|0|165|100|5543|5|0.29|1|131|0.51|1.1
CHASE.P(FIRST)|46|53|28|68|53|46|1|1|995|37|12|2|0.13|1|4|0.54|28.6
BALCH&STUMP.PONDS|43|37|0|70|59|4|2|0|557|44|704|5|0.77|1|14|0.58|2.7
PATTEE.P|44|32|1|69|33|49|2|1|141|27|712|5|0.38|0|17|0.46|2.3
ALLEN.P|44|57|44|68|5|7|3|1|425|27|83|3|1.08|1|2|0.6|2.8
NORTH.P|44|19|43|70|24|1|2|0|510|50|164|4|0.62|1|2|0.56|0.7
BOTTLE.L|45|18|36|68|3|17|2|1|298|42|281|5|1.05|1|8|0.48|2.1
RANGE.P(LOWER)|44|2|25|70|21|31|2|0|306|41|290|3|1.25|1|14|0.51|3.7
OTTER.P|45|21|57|70|44|53|2|1|1373|8|30|4|0.16|0|0|0.61|2.3
THIRD.L|46|14|42|69|1|54|1|0|751|37|474|2|0.36|1|32|0.56|7.4
GRAHAM.L|44|35|38|68|26|15|2|0|102|47|7865|3|0.71|0|499|0.58|5.8
GRAND.L(WEST)|45|13|56|67|48|6|1|0|298|128|14340|2|0.28|1|226|0.56|0.5
CHAIN.OF.PONDS|45|21|8|70|41|50|1|0|1273|106|700|5|0.91|1|65|0.62|4.3
MEDDYBEMPS.L|45|4|27|67|21|43|2|0|170|38|6765|5|0.32|0|45|0.62|0.6
